TAZ,HH15,HHSIZE15
245,19,1.736842105
232,0,0
231,1203,1.896924356
40,15,1.466666667
229,590,2.115254237
214,869,1.68009206
1699,947,1.713833157
1698,300,1.45
1575,619,2.198707593
1576,810,1.479012346
1574,363,1.986225895
230,2282,2.106485539
257,440,2.565909091
1696,1941,1.929417826
1787,1306,1.665390505
196,698,2.045845272
216,417,1.273381295
246,670,1.623880597
259,47,1.14893617
1974,342,1.377192982
1975,29,2.448275862
233,1508,1.674403183
1785,11,2.272727273
1972,0,0
215,418,1.423444976
195,176,2.75
198,1643,1.531953743
197,239,3.121338912
177,2471,1.753945771
189,1037,2.994214079
188,1852,2.253239741
1598,1,5
1820,126,2.666666667
1597,2,2
247,779,2.024390244
248,869,2.501726122
260,388,2.474226804
1579,175,2.422857143
218,0,0
217,1,3
1786,282,1.039007092
1973,0,0
199,2458,1.834825061
236,1208,2.563741722
1450,0,0
1730,777,2.857142857
1578,108,4.009259259
202,685,1.804379562
219,1209,3.005789909
239,1837,2.56831791
201,301,1.518272425
1819,263,2.646387833
1451,652,3.023006135
1452,523,1.592734226
200,1448,1.701657459
1631,859,1.356228172
220,3557,2.074500984
1683,611,4.345335516
240,783,3.431673052
1449,0,0
204,823,2.235722965
221,844,2.072274882
1784,0,0
1600,37,1.486486486
1601,157,2.063694268
184,3720,1.715591398
190,398,2.293969849
1602,7,1.857142857
1603,0,0
192,1622,2.451911221
171,1032,2.324612403
203,1036,1.947876448
191,1007,2.127110228
1990,1,3
170,843,1.543297746
167,0,0
2111,0,0
1595,989,2.369059656
1999,494,2.168016194
1593,1224,2.161764706
1729,371,2.010781671
1556,438,1.867579909
1555,165,2.424242424
1758,143,2.265734266
390,390,2.123076923
351,118,4.245762712
393,460,2.530434783
394,395,2.579746835
395,105,4.666666667
333,598,2.070234114
1362,885,4.560451977
323,460,2.036956522
1553,550,2.434545455
1651,578,1.711072664
322,620,2.074193548
1363,148,4.581081081
1529,594,3.050505051
1465,512,2.728515625
332,449,1.726057906
1757,126,2.063492063
1530,498,2.389558233
298,481,2.85031185
297,554,5.880866426
1991,113,2.460176991
1528,591,2.680203046
294,1467,2.340831629
293,863,2.16801854
1527,425,2.430588235
1722,259,2.814671815
292,201,2.661691542
1723,845,1.526627219
280,804,1.631840796
48,743,2.061911171
291,325,3.033846154
1448,39,3.666666667
1464,422,2.315165877
301,320,4.915625
1824,14,2.071428571
1970,126,2.53968254
320,542,2.636531365
321,275,2.203636364
1712,538,2.005576208
1447,510,2.119607843
1802,0,0
1995,0,0
2155,41,2
877,323,2.445820433
881,57,3.596491228
1701,529,4.684310019
1429,83,2.590361446
947,60,2.433333333
876,54,2.611111111
868,158,2.430379747
1428,11,2.090909091
1358,43,1.88372093
968,27,2.333333333
1019,3,3.666666667
2173,3,1.666666667
1103,20,2.25
951,282,2.907801418
2159,59,2.762711864
950,51,2.470588235
105,133,2.789473684
1067,23,3.043478261
1813,68,1.75
883,23,3.391304348
648,21,4.285714286
994,27,3.740740741
643,26,3.230769231
1033,27,1.777777778
1036,2,2
1032,27,2.222222222
967,45,2.044444444
970,65,2.553846154
633,319,3.253918495
993,25,4.2
2132,43,2
992,48,2.229166667
1119,29,3.620689655
989,40,3.275
991,78,2.730769231
990,26,4.115384615
882,48,1.875
988,38,2.394736842
987,32,2
1106,25,2.12
886,46,2.413043478
1035,10,2
1121,297,2.323232323
1107,9,3.333333333
2179,97,2.649484536
962,157,2.394904459
1027,13,2.384615385
1028,48,2.0625
1029,122,2.286885246
1021,57,2.052631579
2176,56,3.339285714
2175,15,2.866666667
1017,27,1.851851852
1102,37,3.081081081
2172,12,2
1016,11,2.363636364
1020,40,2.35
638,55,2.036363636
2189,5,2.6
644,199,2.743718593
966,34,2.088235294
634,97,2.87628866
1022,15,1.933333333
969,77,2.12987013
645,40,2.325
1808,60,3.25
1836,73,2.479452055
2196,232,4.081896552
1208,84,3.583333333
2224,4,2
1123,3,3
1018,14,2.142857143
263,31,4.290322581
1023,155,3.716129032
1024,83,2.686746988
940,81,3.209876543
863,38,2.578947368
1124,54,2.666666667
1122,9,1.333333333
637,219,2.246575342
1700,53,3.79245283
1814,10,2.4
963,21,2.380952381
946,52,3.846153846
1125,54,3.351851852
632,86,2.174418605
1025,69,2.884057971
2076,15,5.133333333
2338,0,0
2339,0,0
1034,8,2.625
803,16,1.9375
2222,68,2.970588235
685,347,2.884726225
686,203,2.738916256
2136,210,2.571428571
687,149,2.738255034
729,349,2.306590258
2135,392,3.035714286
689,167,2.293413174
742,40,2.525
768,5,3.2
767,21,3.047619048
746,119,3.117647059
766,267,3.36329588
765,47,2.191489362
764,70,1.714285714
2149,319,2.335423197
16,32,2.46875
761,262,2.595419847
2144,359,2.442896936
697,114,2.324561404
748,421,2.42280285
695,100,2.79
2143,122,3.295081967
747,5,3.6
755,98,2.755102041
279,130,2.1
763,22,2
2148,68,2.264705882
1741,74,2.486486486
698,392,2.581632653
2104,123,2.967479675
2105,28,2.571428571
1094,277,2.974729242
2216,77,3.714285714
2232,639,2.719874804
2230,1,1
1667,250,3.3
11,451,3.403547672
8,422,2.052132701
1109,112,2.0625
2099,143,3.041958042
2051,419,2.362768496
2370,0,0
2333,0,0
780,56,3.625
781,30,4.466666667
779,215,4.088372093
778,48,2.520833333
791,8,3.25
788,45,1.888888889
777,0,0
920,3,2.666666667
775,289,3.321799308
1491,13,3.615384615
789,22,4
1489,0,0
790,3,2
784,0,0
1490,80,4.275
802,733,3.376534789
672,289,2.636678201
786,0,0
741,70,2.3
671,436,1.75
2133,4,3.5
1081,132,2.522727273
2185,117,2.547008547
666,108,3.425925926
735,8,2.875
670,283,2.745583039
785,28,1.607142857
740,406,1.655172414
738,209,2.406698565
2369,0,0
2368,0,0
776,1012,1.491106719
796,0,0
772,460,2.782608696
915,1,2
1817,2,2.5
782,9,5.333333333
1818,40,2.075
800,292,2.520547945
801,97,2.907216495
646,27,2.111111111
1005,18,2.444444444
649,2,3
2130,15,2.8
654,226,3.486725664
653,691,2.646888567
652,440,2.602272727
2160,233,1.991416309
959,32,2.03125
957,30,2.266666667
1458,12,2.25
998,101,2.425742574
887,101,1.861386139
884,30,2.166666667
658,97,2.742268041
657,43,2.465116279
984,32,2.1875
2162,21,2.333333333
983,30,2.4
982,70,2.271428571
964,57,2.192982456
980,36,2.138888889
978,75,2.053333333
971,85,2.705882353
1433,30,2.6
885,260,2.607692308
888,173,2.716763006
1434,161,2.850931677
997,42,3.238095238
996,75,3.253333333
422,405,2.414814815
543,325,2.366153846
1432,201,1.950248756
482,134,2.462686567
1120,5,1.6
923,745,2.420134228
995,445,2.078651685
1431,168,2.196428571
1430,293,2.034129693
889,189,2.825396825
1052,396,2.222222222
660,132,3.621212121
976,45,2.355555556
973,38,2.421052632
977,60,2.933333333
979,27,2.259259259
655,72,2.194444444
972,4,2.25
975,51,2.490196078
890,46,2.804347826
986,26,1.807692308
985,36,2.444444444
974,45,2.377777778
2183,16,2.625
2165,19,2.526315789
1001,20,2.25
2166,7,1.857142857
1003,69,2.289855072
864,16,2.3125
607,162,2.635802469
613,46,2.434782609
656,43,2.604651163
572,40,1.9
630,40,2.025
624,56,2.892857143
1195,140,2.178571429
1812,37,3.081081081
631,93,2.279569892
2161,7,2.714285714
2167,7,1.285714286
2168,11,2.727272727
2219,24,2.541666667
981,4,2
999,16,2.3125
2164,32,2.1875
1015,63,2.761904762
965,12,4.583333333
2129,27,2.925925926
2218,13,2.538461538
1740,52,3.096153846
661,11,1.636363636
2220,10,2.5
1000,1028,3.461089494
2182,106,2.547169811
2131,0,0
307,264,2.871212121
1030,166,3.445783133
2177,8,2.5
1031,14,3.357142857
891,52,2.884615385
2188,3,3.333333333
659,20,2.6
1203,726,4.11707989
1199,472,2.883474576
1201,52,3.173076923
1388,275,1.88
1204,435,2.386206897
1368,138,2.666666667
1197,68,2.073529412
1196,149,2.395973154
1198,109,2.770642202
