geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
480219501001,021,0,2194,88025,906,2017,2017,3.74,539,725,499,40,,0,552
480219501002,021,963,1169,88472,896,2031,2031,2.99,680,794,606,74,1476.0,0,705
480219501003,021,1045,934,58909,787,1731,1731,2.72,637,690,479,158,1398.0,0,634
480219501004,021,0,1881,79485,495,1388,1388,2.91,477,544,419,58,,0,409
480219501005,021,1047,1169,63542,531,1131,1131,3.19,354,488,295,59,870.0,0,442
480219502001,021,1274,1301,62225,911,2008,2126,3.91,513,611,365,148,1146.0,0,757
480219502002,021,1225,1597,64375,1188,3182,3182,3.73,852,912,507,345,1645.0,0,1120
480219502003,021,854,887,90093,1352,2053,2053,4.26,482,532,272,210,1245.0,0,1119
480219502004,021,383,0,0,188,757,801,2.92,259,400,52,207,,0,136
480219502005,021,948,1411,46518,606,1211,1211,3.23,375,375,135,240,692.0,0,374
480219503001,021,1280,1541,75978,547,1263,1263,2.9,436,436,250,186,993.0,0,464
480219503002,021,1415,1725,95121,2245,6214,6281,3.44,1808,1957,1535,273,4051.0,0,1956
480219503003,021,1097,1395,73214,1083,2488,2488,3.26,764,879,663,101,1726.0,0,971
480219503004,021,1359,1391,96842,1132,2611,2611,3.26,802,802,618,184,1859.0,0,863
480219503005,021,1199,1337,52262,960,3391,3391,2.77,1224,1499,1090,134,2450.0,0,836
480219504001,021,718,1330,0,585,1266,1266,2.86,443,506,267,176,750.0,0,387
480219504002,021,831,1201,41011,1023,2085,2275,2.4,869,969,526,343,1446.0,0,910
480219504003,021,1250,2060,75735,607,1183,1191,2.43,486,548,350,136,852.0,0,494
480219504004,021,1209,1113,78472,1230,2066,2387,2.47,838,988,415,423,1639.0,0,963
480219504005,021,1199,1444,80000,970,2256,2256,2.56,880,1025,761,119,1769.0,0,677
480219505011,021,847,1314,52120,1559,3104,3137,3.45,899,1276,711,188,1979.0,0,1456
480219505012,021,1132,1429,46897,1027,2649,2649,4.15,638,753,517,121,1496.0,0,802
480219505013,021,0,1509,97868,764,1429,2802,2.94,486,568,467,19,,0,705
480219505021,021,0,1582,82250,1387,2889,2889,2.72,1061,1230,1001,60,,0,1156
480219505022,021,715,1558,55568,914,2031,2031,3.06,664,801,549,115,1466.0,0,747
480219505023,021,0,1510,64028,395,1466,1466,3.23,454,527,371,83,839.0,0,257
480219506001,021,1109,1190,59063,1034,2958,2976,3.33,888,1172,719,169,1921.0,0,848
480219506002,021,1550,1296,57379,460,977,977,2.34,417,648,326,91,836.0,0,306
480219506003,021,0,1673,72763,636,1547,1547,2.44,634,804,613,21,,0,509
480219507001,021,0,1563,80729,522,1161,1260,2.51,463,500,403,60,1049.0,13,367
480219507002,021,0,1667,61953,361,700,716,2.53,277,363,199,78,486.0,1,256
480219507003,021,932,1475,53793,576,1147,1147,2.58,444,541,269,175,745.0,0,498
480219507004,021,1261,1409,48882,690,1456,1456,2.69,541,716,334,207,927.0,14,544
480219508011,021,1546,1380,53922,841,2630,2630,4.11,640,689,516,124,1225.0,0,770
480219508012,021,0,1613,67941,570,1623,1623,3.33,488,531,442,46,,15,502
480219508013,021,1086,1429,82019,1567,3761,3761,5.4,696,772,526,170,2046.0,0,1155
480219508021,021,1430,1516,68284,2538,5544,5544,3.91,1418,1545,1275,143,3544.0,0,1979
480219508022,021,0,1194,61932,581,1475,1475,4.9,301,399,201,100,586.0,0,438
480219508023,021,982,1250,47011,798,1356,1356,3.05,444,520,319,125,1042.0,0,496
480539601001,053,697,2091,64050,886,2205,2205,2.9,761,1002,601,160,1819.0,15,655
480539601002,053,1026,1468,80455,1084,2355,2424,3.37,698,721,582,116,1738.0,8,938
480539601003,053,0,1090,63548,1428,2823,2823,3.42,826,976,734,92,1943.0,0,847
480539602001,053,964,1583,73281,777,1874,1874,3.1,605,761,513,92,1481.0,0,483
480539602002,053,0,1681,56500,491,1085,1085,2.29,474,912,468,6,,0,430
480539603001,053,713,1159,38529,985,1987,1987,2.81,706,832,562,144,1122.0,0,886
480539603002,053,669,1566,55838,684,1280,1287,3.26,393,393,231,162,886.0,0,381
480539603003,053,1350,1658,76103,669,1291,1291,3.13,413,464,335,78,905.0,0,394
480539603004,053,0,1008,73021,396,597,612,2.73,219,307,77,142,539.0,0,381
480539603005,053,629,1221,58388,441,1028,1498,2.63,391,544,190,201,692.0,0,437
480539604001,053,1287,2083,39026,579,1246,1246,2.4,519,1073,385,134,937.0,0,537
480539604002,053,0,1193,62426,752,1903,1903,2.82,676,1078,587,89,1521.0,0,495
480539604003,053,0,1750,61893,672,2331,2333,2.48,940,1098,897,43,,0,566
480539605001,053,0,1212,48926,1062,2247,2247,3.19,705,1037,649,56,,0,719
480539605002,053,0,1688,69331,466,1178,1178,2.53,465,769,423,42,1046.0,0,279
480539605003,053,1621,948,50191,807,1800,1800,4.58,393,714,289,104,886.0,0,735
480539605004,053,0,1269,0,511,1062,1062,2.17,490,979,477,13,,0,361
480539606001,053,1008,1419,85125,987,2137,2137,2.8,764,1019,700,64,1590.0,0,801
480539606002,053,1664,1829,80500,721,1841,1841,2.39,770,907,713,57,1482.0,0,615
480539607001,053,0,1148,78521,621,1664,1675,2.75,606,666,361,245,934.0,0,615
480539607002,053,805,1568,33286,540,1383,1406,2.03,680,701,334,346,960.0,0,399
480539607003,053,1057,1159,47113,558,1250,1250,1.96,639,773,266,373,759.0,0,383
480539607004,053,650,1631,54722,650,1424,1424,2.08,684,878,291,393,933.0,0,581
480539607005,053,793,1556,42978,824,1576,1576,2.8,562,739,218,344,921.0,0,485
480539608001,053,0,1537,116103,815,1842,1842,2.65,695,1077,653,42,,0,606
480539608002,053,1092,1290,57703,1397,2589,2589,3.16,819,1076,661,158,1699.0,0,1010
480539608003,053,719,3060,82500,847,1918,1935,2.26,850,1297,727,123,1882.0,0,573
480559601011,055,977,1256,58333,942,2073,2073,3.49,594,610,441,153,1355.0,0,887
480559601012,055,1024,1298,48795,1657,4090,4090,3.97,1029,1090,826,203,2352.0,0,1530
480559601013,055,0,1216,57336,836,1725,1725,2.75,627,752,483,144,1403.0,0,718
480559601021,055,646,1360,57604,1142,2862,2862,2.71,1058,1202,882,176,2180.0,0,818
480559601022,055,1013,1385,49750,602,1307,1447,3.01,434,543,309,125,975.0,0,548
480559602001,055,881,868,50925,442,1324,1495,3.14,421,441,289,132,870.0,0,415
480559602002,055,854,1433,74335,819,1838,1913,2.71,677,677,416,261,1241.0,0,668
480559602003,055,675,0,48527,90,191,1493,1.5,127,127,71,56,187.0,0,67
480559602004,055,1328,0,52361,226,668,668,3.93,170,193,100,70,270.0,0,174
480559603001,055,1432,1777,48942,630,1658,1658,2.73,607,681,446,161,1140.0,0,541
480559603002,055,945,2097,77014,535,1122,1122,3.07,365,388,266,99,840.0,0,360
480559603003,055,1029,1349,60809,1060,1646,1646,2.67,617,668,352,265,1252.0,0,874
480559604001,055,949,1108,45461,918,1739,1739,3.24,537,614,313,224,977.0,0,618
480559604002,055,873,1351,57232,1019,1901,1984,2.46,774,850,358,416,1409.0,0,794
