geoid,all_vmt_hh,hh,carownership_expense_hh,driving_cost_year,vehicle,average_veh,veh_hh,transitcost_hh,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly,combined H+T
480219501001,48087.03363043528,539.0,9040.395,8736.261403455233,0.0,2.1,0.0,0.0,88025.0,2017.0,0.0,2194.0,24374.159554730984,2031.1799628942483,42150.81595818622
480219501002,37126.08084952625,680.0,9040.395,6744.919008312277,1476.0,2.1,2.170588235294117,0.0,88472.0,2031.0,963.0,1169.0,13758.988235294117,1146.5823529411764,29544.302243606395
480219501003,34353.75561852535,637.0,5488.619999999999,5864.265469743198,1398.0,1.7,2.194662480376766,0.0,58909.0,1731.0,1045.0,934.0,11538.386185243327,961.5321821036108,22891.27165498652
480219501004,48070.47870757152,477.0,9040.395,8733.253770778962,0.0,2.1,0.0,0.0,79485.0,1388.0,0.0,1881.0,19827.39622641509,1652.2830188679245,37601.044997194054
480219501005,29346.23324625532,354.0,5488.619999999999,5009.469829267887,870.0,1.7,2.457627118644068,0.0,63542.0,1131.0,1047.0,1169.0,13784.0,1148.6666666666667,24282.089829267887
480219502001,25673.02180962046,513.0,9040.395,4664.172701297512,1146.0,2.1,2.2339181286549707,0.0,62225.0,2126.0,1274.0,1301.0,15518.526315789475,1293.2105263157896,29223.094017086987
480219502002,25064.92834761856,852.0,5488.619999999999,4278.641189706304,1645.0,1.7,1.93075117370892,0.0,64375.0,3182.0,1225.0,1597.0,17356.394366197183,1446.3661971830986,27123.655555903486
480219502003,22263.48169250068,482.0,9040.395,4044.740985928129,1245.0,2.1,2.58298755186722,0.0,90093.0,2053.0,854.0,887.0,10471.468879668051,872.6224066390042,23556.60486559618
480219502004,27332.449357955305,259.0,3691.95,4965.6509116975085,0.0,1.5,0.0,0.0,0.0,801.0,383.0,0.0,3673.250965250965,306.1042471042471,12330.851876948473
480219502005,26697.34279264173,375.0,5488.619999999999,4557.298107702693,692.0,1.7,1.8453333333333333,0.0,46518.0,1211.0,948.0,1411.0,13376.16,1114.68,23422.07810770269
480219503001,39547.80864321142,436.0,5488.619999999999,6750.902323626401,993.0,1.7,2.277522935779817,0.0,75978.0,1263.0,1280.0,1541.0,17155.87155963303,1429.6559633027523,29395.39388325943
480219503002,21985.54717807392,1808.0,9040.395,3994.246946521677,4051.0,2.1,2.2405973451327434,0.0,95121.0,6281.0,1415.0,1725.0,20138.296460176996,1678.1913716814158,33172.938406698675
480219503003,29724.58043756877,764.0,9040.395,5400.243791421448,1726.0,2.1,2.259162303664921,0.0,73214.0,2488.0,1097.0,1395.0,16267.25654450262,1355.6047120418848,30707.89533592407
480219503004,22381.30963435487,802.0,5488.619999999999,3820.541273967763,1859.0,1.7,2.3179551122194515,0.0,96842.0,2611.0,1359.0,1391.0,16603.90024937656,1383.6583541147131,25913.06152334432
