geoid,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly
480539607001,78521.0,1675.0,0.0,1148.0,8206.49504950495,683.8745874587459
480539603002,55838.0,1287.0,669.0,1566.0,14354.931297709925,1196.2442748091605
480539601002,80455.0,2424.0,1026.0,1468.0,16734.5329512894,1394.5444126074499
480539608001,116103.0,1842.0,0.0,1537.0,17329.39856115108,1444.11654676259
480539604003,61893.0,2333.0,0.0,1750.0,20039.361702127662,1669.9468085106384
480539604001,39026.0,1246.0,1287.0,2083.0,22529.780346820808,1877.4816955684007
480539603004,73021.0,612.0,0.0,1008.0,4252.931506849316,354.41095890410963
480539603003,76103.0,1291.0,1350.0,1658.0,19197.966101694914,1599.8305084745762
480539607003,47113.0,1250.0,1057.0,1159.0,13193.521126760565,1099.4600938967137
484530018554,84070.0,5502.0,1471.0,1799.0,20308.8,1692.3999999999999
484530018584,117273.0,3067.0,2016.0,2379.0,28050.89361702128,2337.5744680851067
484530018585,113363.0,4051.0,0.0,1756.0,10536.0,878.0
484530018592,92109.0,2929.0,1844.0,1982.0,23543.341463414636,1961.9451219512196
484530018622,66500.0,2754.0,1371.0,1833.0,19352.470588235294,1612.7058823529412
480219504003,75735.0,1191.0,1250.0,2060.0,22000.0,1833.3333333333335
480219507001,80729.0,1260.0,0.0,1563.0,16325.416846652266,1360.451403887689
484530023144,41439.0,2172.0,1221.0,0.0,14652.0,1221.0
480219502005,46518.0,1211.0,948.0,1411.0,13376.16,1114.68
480559607001,0.0,983.0,963.0,0.0,6131.178484107579,510.93154034229826
484530022081,54079.0,1374.0,1647.0,1295.0,16171.714285714286,1347.642857142857
484530024331,51919.0,2232.0,1133.0,958.0,11761.187713310579,980.0989761092151
484530002041,33045.0,1237.0,1114.0,2917.0,19626.625194401244,1635.5520995334368
484530017402,111435.0,2503.0,1585.0,2333.0,24276.462006079026,2023.0385005065855
484530019082,71250.0,6060.0,1384.0,2690.0,23362.915318744057,1946.909609895338
484530022093,86382.0,2706.0,1138.0,1443.0,16897.837455830388,1408.1531213191988
484530022102,63512.0,2861.0,1050.0,1465.0,17052.3178807947,1421.0264900662253
484530015032,52813.0,669.0,1081.0,0.0,12405.949090909091,1033.829090909091
484530015033,68000.0,1331.0,1188.0,2172.0,18862.624203821655,1571.8853503184712
484910214032,51006.0,1404.0,1058.0,1395.0,15314.417266187053,1276.2014388489208
484910214011,68229.0,1657.0,1718.0,1313.0,17639.025830258306,1469.918819188192
484910214021,59231.0,1687.0,1403.0,1125.0,16092.305732484077,1341.0254777070065
480559605001,46313.0,1395.0,745.0,1380.0,14830.738007380076,1235.8948339483395
480559601022,49750.0,1447.0,1013.0,1385.0,15334.285714285712,1277.8571428571427
480559602002,74335.0,1913.0,854.0,1433.0,14517.376661742983,1209.781388478582
480559606001,67656.0,1274.0,1119.0,1485.0,17275.928186714544,1439.660682226212
484910214022,62500.0,1599.0,1133.0,1268.0,14480.311926605504,1206.6926605504586
484910214024,30556.0,1509.0,1015.0,0.0,10852.42214532872,904.3685121107267
484910205081,58186.0,4036.0,1242.0,1791.0,15642.059602649008,1303.5049668874174
480219504001,0.0,1266.0,718.0,1330.0,13042.293453724606,1086.8577878103838
480219506002,57379.0,977.0,1550.0,1296.0,16217.151079136693,1351.4292565947244
480219503002,95121.0,6281.0,1415.0,1725.0,20138.296460176993,1678.1913716814158
480219506001,59063.0,2976.0,1109.0,1190.0,14095.013513513513,1174.5844594594594
480219503004,96842.0,2611.0,1359.0,1391.0,16603.90024937656,1383.6583541147131
480219502002,64375.0,3182.0,1225.0,1597.0,17356.394366197183,1446.3661971830986
480219503003,73214.0,2488.0,1097.0,1395.0,16267.25654450262,1355.6047120418848
480219503005,52262.0,3391.0,1199.0,1337.0,15862.705882352942,1321.892156862745
480219501003,58909.0,1731.0,1045.0,934.0,11538.386185243327,961.5321821036107
480219501001,88025.0,2017.0,0.0,2194.0,24374.159554730984,2031.1799628942485
480219508023,47011.0,1356.0,982.0,1250.0,14094.594594594595,1174.5495495495495
480219507002,61953.0,716.0,0.0,1667.0,14371.104693140791,1197.5920577617328
480219502001,62225.0,2126.0,1274.0,1301.0,15518.526315789475,1293.2105263157896
480219504002,41011.0,2275.0,831.0,1201.0,12659.502876869963,1054.9585730724968
480219507003,53793.0,1147.0,932.0,1475.0,15131.756756756757,1260.9797297297296
480219501002,88472.0,2031.0,963.0,1169.0,13758.988235294117,1146.5823529411764
480219502004,0.0,801.0,383.0,0.0,3673.2509652509652,306.1042471042471
484910205052,126458.0,880.0,1654.0,1908.0,22525.140684410646,1877.0950570342206
484910215062,97240.0,1727.0,1707.0,1747.0,20913.623762376235,1742.8019801980197
482090104001,57300.0,737.0,0.0,1169.0,12762.315789473683,1063.5263157894738
482090104002,41646.0,3292.0,1183.0,1386.0,14750.097087378637,1229.1747572815532
484910204051,41635.0,948.0,1245.0,0.0,11575.495978552279,964.6246648793566
484910204052,100025.0,1568.0,1599.0,1526.0,18633.694915254237,1552.8079096045199
484910204053,59461.0,1810.0,1242.0,1982.0,18185.73913043478,1515.4782608695652
484910204061,58608.0,2928.0,1278.0,0.0,14293.621070518268,1191.1350892098558
484910201083,56875.0,1229.0,0.0,1984.0,11508.664206642066,959.0553505535055
484910203161,118049.0,2109.0,1671.0,2494.0,26805.44117647059,2233.7867647058824
484910203101,139570.0,3031.0,0.0,2758.0,31880.073478760045,2656.6727898966706
484910209004,73542.0,1330.0,918.0,1571.0,17590.0987012987,1465.8415584415582
482090107013,33413.0,3624.0,951.0,2150.0,13186.242774566474,1098.8535645472064
482090106001,37782.0,1132.0,1037.0,0.0,11671.92700729927,972.6605839416059
482090106003,82321.0,1612.0,0.0,1212.0,8333.490196078432,694.4575163398692
482090107014,62803.0,1739.0,1570.0,2129.0,21417.9414893617,1784.8284574468084
482090108052,126000.0,1767.0,1393.0,2876.0,33910.355871886124,2825.8629893238435
484910204062,60932.0,3726.0,1204.0,1672.0,15538.747993579456,1294.8956661316213
484910205092,69479.0,1261.0,1738.0,1500.0,18542.707838479808,1545.2256532066508
484910205033,90096.0,1912.0,0.0,1876.0,20300.044374009507,1691.6703645007924
484910205042,62328.0,1649.0,1328.0,1369.0,16140.434482758621,1345.0362068965517
484910205043,60346.0,4495.0,1198.0,1130.0,14199.579638752051,1183.2983032293375
484910206021,108889.0,2482.0,1960.0,1891.0,22762.787564766837,1896.89896373057
484910207033,62763.0,2389.0,0.0,1282.0,11647.192429022083,970.5993690851735
484910207041,59318.0,2638.0,1199.0,1619.0,16435.810650887575,1369.6508875739644
484910210001,32778.0,846.0,625.0,1326.0,11169.063829787234,930.7553191489362
484910210003,31176.0,1083.0,1065.0,995.0,12156.363636363638,1013.030303030303
482090103021,38856.0,1629.0,1079.0,1100.0,13034.277966101698,1086.1898305084746
484530023043,50381.0,942.0,1248.0,0.0,14778.079295154184,1231.5066079295154
484530019011,101406.0,1961.0,1438.0,2379.0,21730.399209486164,1810.8666007905138
484530010005,26356.0,589.0,620.0,3142.0,15044.020100502516,1253.6683417085428
484530021113,70046.0,2174.0,1375.0,1624.0,18700.167202572346,1558.3472668810289
484530020031,65729.0,1734.0,1760.0,1575.0,19518.74425727412,1626.56202143951
484530020041,57955.0,2346.0,1331.0,2236.0,16632.310478654592,1386.025873221216
